time,FL_thigh_pos,FL_calf_pos,FR_thigh_pos,FR_calf_pos,RL_thigh_pos,RL_calf_pos,RR_thigh_pos,RR_calf_pos,FL_thigh_vel,FL_calf_vel,FR_thigh_vel,FR_calf_vel,RL_thigh_vel,RL_calf_vel,RR_thigh_vel,RR_calf_vel
0.1,4.4574776460323456e-17,-6.556390389080446e-17,-2.5837037804994298e-17,5.386790883659612e-17,4.4574776460323456e-17,-6.556390389080456e-17,-2.5837037804994246e-17,5.386790883659614e-17,4.3278143014636076e-16,-3.6474782299382265e-16,-1.88160579923221e-16,3.53261696315479e-16,4.3278143014636017e-16,-3.647478229938241e-16,-1.8816057992322012e-16,3.5326169631547924e-16
0.2,8.59345115222536e-17,-8.045974935997534e-17,-4.225847975628379e-17,7.356385398319781e-17,8.593451152225346e-17,-8.045974935997549e-17,-4.2258479756283634e-17,7.356385398319786e-17,4.033892405113532e-16,-6.8189138553501096e-18,-1.7832077018516657e-16,7.977959128462879e-17,4.0338924051135174e-16,-6.818913855350207e-18,-1.7832077018516574e-16,7.977959128462937e-17
0.30000000000000004,1.2602549959006093e-16,-7.418026282439708e-17,-6.44759823120545e-17,7.384392485732752e-17,1.2602549959006064e-16,-7.418026282439727e-17,-6.447598231205428e-17,7.384392485732762e-17,4.050684312253178e-16,1.12443134808352e-16,-2.610787755314719e-16,-5.66190462355175e-17,4.050684312253169e-16,1.124431348083517e-16,-2.610787755314714e-16,-5.661904623551689e-17
0.4,1.6734517684726462e-16,-6.018149277348284e-17,-9.377614999589251e-17,6.496191313546524e-17,1.6734517684726427e-16,-6.018149277348311e-17,-9.377614999589229e-17,6.496191313546539e-17,4.0970044470417746e-16,1.5504985269997503e-16,-3.292140454625024e-16,-1.1719984663102217e-16,4.0970044470417726e-16,1.5504985269997466e-16,-3.2921404546250234e-16,-1.1719984663102284e-16
0.5,-6.961622411284696e-16,1.7411995942669337e-15,6.793119539399214e-16,-1.3179364381730093e-15,-6.566722739301449e-16,1.6657424632693688e-15,6.75934766020956e-16,-1.3115156211386827e-15,6.272208701647898e-15,-9.741960916742446e-15,-3.163923223570714e-15,8.302455345526488e-15,5.9451050529476515e-15,-9.116449587295012e-15,-3.1468793253088498e-15,8.269772416207697e-15
0.6000000000000001,-2.06500389089368e-16,1.0296438821951007e-15,4.525543026366976e-16,-6.59138747992742e-16,-1.8583350972044186e-16,9.901979638924771e-16,4.503368818909686e-16,-6.54924995497058e-16,3.17196030340805e-15,-3.824295650339313e-15,-1.046091976157424e-15,4.2394926390671295e-15,3.0576634115280936e-15,-3.605619255150508e-15,-1.0395575129083928e-15,4.226967580988642e-15
0.7000000000000001,1.916316760894107e-17,8.259807519901042e-16,4.2643914788792096e-16,-3.8151072427788874e-16,3.4853190456848684e-17,7.960700294603522e-16,4.248422852966834e-16,-3.7847389827041675e-16,1.6588845922936884e-15,-8.648328563183194e-16,1.889758846460365e-16,1.9430791064420963e-15,1.635263109552594e-15,-8.194969134270538e-16,1.9238890431627057e-16,1.9366194350783126e-15
0.8,1.6340254462112166e-16,7.77594350198635e-16,4.77002389915602e-16,-2.504437075484242e-16,1.7611518959464754e-16,7.533935703689888e-16,4.755351305370261e-16,-2.476437847285537e-16,1.1797243302656582e-15,-5.075094550676436e-17,5.519619848393319e-16,1.1598490083032281e-15,1.1874189382733745e-15,-6.511390964864231e-17,5.526513790317177e-16,1.158482794424192e-15
0.9,2.6262383823995036e-16,8.02786699583756e-16,5.475303376040819e-16,-1.7053081502293976e-16,2.765593996893057e-16,7.7626456675578535e-16,5.463555814274205e-16,-1.6827986160607248e-16,8.782679624432727e-16,4.0390218930239533e-16,7.807946665683976e-16,5.753551178917114e-16,8.117289818022291e-16,5.314644778079721e-16,7.810366660248026e-16,5.750059500994842e-16
1.0,3.4756497967791136e-16,8.394800495337653e-16,6.169086123689687e-16,-1.0422252940794079e-16,3.607947608908882e-16,8.143255228609253e-16,6.157796621995582e-16,-1.0205026690347946e-16,7.857816841571865e-16,4.0825270304507467e-16,7.528693667965456e-16,4.638863488390387e-16,7.889112936710039e-16,4.0226473207661726e-16,7.543861782350788e-16,4.608985623882692e-16
1.1,4.164958645313319e-16,8.856475749350607e-16,6.877757007206248e-16,-6.208445077760298e-17,4.2968763025590014e-16,8.605804030686748e-16,6.866058609775314e-16,-5.982135793807217e-17,6.652493585120926e-16,3.906400630167153e-16,6.15564338710937e-16,4.704262124637374e-16,6.609787595330839e-16,3.988731690978864e-16,6.050535768518048e-16,4.90634114333755e-16
1.2,4.778758148344817e-16,9.233659932614383e-16,7.434843070471664e-16,-1.3887852858352066e-17,4.912362809227576e-16,8.979933890288858e-16,7.423786397081062e-16,-1.1736935098988834e-17,5.615583952689575e-16,3.6448995984628576e-16,5.738405490318967e-16,3.2009240241540113e-16,5.63479031972851e-16,3.6081746660851823e-16,5.737404278932869e-16,3.203477944184585e-16
1.3,5.270110837560387e-16,9.570469967391793e-16,7.946157656064168e-16,1.567660596052186e-17,5.404482046207308e-16,9.315435029085216e-16,7.934834575246817e-16,1.7891910103364162e-17,4.27869881571953e-16,3.066652771399899e-16,4.335215499837184e-16,2.8902702163105263e-16,4.365467364290683e-16,2.9026074288196287e-16,4.33323351976181e-16,2.89652931140349e-16
1.4,5.64130598869894e-16,9.841230300719748e-16,8.2754962875715445e-16,5.0576133154047923e-17,5.77687289199113e-16,9.58410774060142e-16,8.261943978034077e-16,5.322724071954162e-17,3.302716407188278e-16,2.294519515261898e-16,2.771038542516458e-16,3.4535356252338433e-16,3.300395653145651e-16,2.302063970457325e-16,2.862794239530538e-16,3.2792443626126563e-16
